업종명,업소명,소재지,영업장면적(㎡),소재지전화,업태명,데이터기준일자
휴게음식점,커피보그,제주특별자치도 제주시 국기로 43 ,69.85,-,커피숍,2020-04-02
휴게음식점,씨유제주삼양해수욕장점,제주특별자치도 제주시 선사로8길 10,7,-,편의점,2020-04-02
휴게음식점,GS한라수목원,제주특별자치도 제주시 수목원길 65-6,6.6,-,편의점,2020-04-02
휴게음식점,터미널다방,제주특별자치도 제주시 서광로 174,139.91,-,다방,2020-04-02
휴게음식점,지에스25곽지해변점,제주특별자치도 제주시 애월읍 곽지1길 28,6,-,기타 휴게음식점,2020-04-02
휴게음식점,샐리가든커피법원점,제주특별자치도 제주시 남광북5길 2 ,90.79,-,커피숍,2020-04-02
휴게음식점,커피방앗간,제주특별자치도 제주시 남광로 65,34.75,-,커피숍,2020-04-02
휴게음식점,지에스25제주사평점,제주특별자치도 제주시 사평4길 24-10 ,6.6,-,편의점,2020-04-02
휴게음식점,모란뉴다방,제주특별자치도 제주시 중앙로 196,64.79,-,다방,2020-04-02
휴게음식점,북촌에가면,제주특별자치도 제주시 조천읍 북촌리 1262번지,99,-,커피숍,2020-04-02
휴게음식점,십칠(17)마일즈,제주특별자치도 제주시 조천읍 북흘로 112-2,78.65,-,커피숍,2020-04-02
휴게음식점,쥬씨연동점,제주특별자치도 제주시 신광로 46,16.04,-,커피숍,2020-04-02
휴게음식점,용가리는와플도둑,제주특별자치도 제주시 고마로 99,30,-,패스트푸드,2020-04-02
휴게음식점,킴스케이크,제주특별자치도 제주시 방일4길 45-2,28.88,-,커피숍,2020-04-02
휴게음식점,지에스25제주용흥점,제주특별자치도 제주시 용담로 89 ,6.6,-,편의점,2020-04-02
휴게음식점,호끌락,제주특별자치도 제주시 건입동 505번지,12,-,푸드트럭,2020-04-02
휴게음식점,지에스제주연문점,제주특별자치도 제주시 일주서로 7778,3.3,-,편의점,2020-04-02
휴게음식점,온도커피,제주특별자치도 제주시 노형동 937번지 ,151.8,-,커피숍,2020-04-02
휴게음식점,별밥,제주특별자치도 제주시 노형1길 18 ,40,-,기타 휴게음식점,2020-04-02
휴게음식점,마이다스pc방구내,제주특별자치도 제주시 중앙로28길 2,9.9,-,기타 휴게음식점,2020-04-02
