지역별,승마장명,소재지,영업구분,데이터기준일자
한림읍,라온더마파크,제주특별자치도 제주시 한림읍 월림7길155 ,영업중,2020-01-31
한림읍,힐링팜 마사영농조합,제주특별자치도 제주시 한림읍 광산로 395-46 ,영업중,2020-01-31
애월읍 ,제주특별자치도 말산업협동조합,제주특별자치도 제주시 애월읍 어음13길 180 ,영업중,2020-01-31
애월읍 ,웅지승마센터,제주특별자치도 제주시 애월읍 산록서로81 ,영업중,2020-01-31
애월읍 ,홀스 스토리,제주특별자치도 제주시 애월읍 납읍남로3길 169 ,영업중,2020-01-31
애월읍 ,시무상승마장,제주특별자치도 제주시 애월읍 애원로 564 ,휴업,2020-01-31
애월읍 ,제주승마공원,제주특별자치도 제주시 애월읍 녹고메길 152-1 ,영업중,2020-01-31
애월읍 ,에이원승마클럽,제주특별자치도 제주시 애월읍 유수암평화10길 102 ,영업중,2020-01-31
애월읍 ,제주한라대학교 마사학부실습승마장,제주특별자치도 제주시 애월읍 산록서로 678-207,영업중,2020-01-31
애월읍 ,재활힐링승마센터 제주점,제주특별자치도 제주시 애월읍 평화로 2144 ,영업중,2020-01-31
애월읍 ,유수암승마클럽,제주특별자치도 제주시 애월읍 유소길 91-39 ,영업중,2020-01-31
구좌읍 ,송당승마장,제주특별자치도 제주시 구좌읍 번영로 2015 ,영업중,2020-01-31
구좌읍 ,㈜한국폴로 컨트리클럽,제주특별자치도 제주시 구좌읍 월행남길 322-30 ,영업중,2020-01-31
구좌읍 ,제주동부승마공원,제주특별자치도 제주시 구좌읍 상도로 269-29 ,영업중,2020-01-31
조천읍 ,탐라승마장,제주특별자치도 제주시 조천읍 비자림로 1044 ,영업중,2020-01-31
조천읍 ,서진승마장,제주특별자치도 제주시 조천읍 비자림로 1118 ,영업중,2020-01-31
조천읍 ,제주승마장,제주특별자치도 제주시 조천읍 비자림로 1065 ,영업중,2020-01-31
조천읍 ,제주교래승마장,제주특별자치도 제주시 조천읍 남조로 1883 ,영업중,2020-01-31
조천읍 ,와흘한우영농조합,제주특별자치도 제주시 조천읍 비자림로 485-15 ,영업중,2020-01-31
조천읍 ,카우보이승마장,제주특별자치도 제주시 조천읍 남조로 2201-7 ,휴업,2020-01-31
조천읍 ,제주오름승마랜드,제주특별자치도 제주시 조천읍 번영로 1734-15 ,영업중,2020-01-31
조천읍 ,마원목장 영농조합법인,제주특별자치도 제주시 조천읍 선흘남2길 264-23 ,영업중,2020-01-31
조천읍 ,뱅듸승마장,제주특별자치도 제주시 조천읍 와흘리 산 18,영업중,2020-01-31
조천읍 ,운주승마클럽,제주특별자치도 제주시 조천읍 미래로 165-10,영업중,2020-01-31
조천읍 ,와흘을그리다,제주특별자치도 제주시 조천읍 비자림로 485-15 ,영업중,2020-01-31
한경면 ,청수승마체험장,제주특별자치도 제주시 한경면 연명로 348 ,영업중,2020-01-31
한경면 ,더홀스승마클럽,제주특별자치도 제주시 한경면 저지10길 2 ,영업중,2020-01-31
동지역 ,어승생승마장,제주특별자치도 제주시 1100로2659 ,영업중,2020-01-31
동지역 ,제주대학교말산업 전문인력 양성센터 종합승마타운,제주특별자치도 제주시 산천단남길42 ,영업중,2020-01-31
동지역 ,제주홀스타,제주특별자치도 제주시 산록북로 8 ,영업중,2020-01-31
동지역 ,제주탑승마클럽,제주특별자치도 제주시 명림로 278 ,영업중,2020-01-31
동지역 ,제주승마스쿨,제주특별자치도 제주시 배한이길 97,영업중,2020-01-31
동지역 ,제이홀스클럽,제주특별자치도 제주시 월산남길 284,영업중,2020-01-31
