상호명,소재지,객실수,연락처,위도,경도,데이터기준일자,
솔바람풍경소리 휴양펜션,제주특별자치도 서귀포시 남원읍 태수로143번길 132-37,10,064-764-6002,33.2904485,126.7241766,2020-06-30,212
제주목화,제주특별자치도 서귀포시 남원읍 태위로 485,10,064-764-7942,33.2756591,126.6992862,2020-06-30,122
예이츠산장,제주특별자치도 서귀포시 남원읍 516로 918,10,064-767-3746,33.3254654,126.6012828,2020-06-30,112
포유펜션,제주특별자치도 서귀포시 남원읍 서의로 40-6,7,064-764-2777,33.2959968,126.7109459,2020-06-30,121
수망관광 휴양펜션,제주특별자치도 서귀포시 남원읍 서성로 986-24,7,070-4151-5221,33.3245683,126.6627718,2020-06-30,121
소랑호젠 펜션,제주특별자치도 서귀포시 남원읍 태위로 545,10,064-764-8016,33.280681,126.707391,2020-06-30,211
화음 휴양펜션,제주특별자치도 서귀포시 남원읍 태위로894번길 36,5,064-764-7004,33.2834497,126.7422384,2020-06-30,111
큰엉해올레 펜션,제주특별자치도 서귀포시 남원읍 태위로510번길 31-8,9,064-764-7456,33.2718263,126.6948168,2020-06-30,212
제주펜션 모이헤이,제주특별자치도 서귀포시 남원읍 신례로379번길 36-28,10,064-767-1005,33.2928201,126.6205627,2020-06-30,211
르페도라 휴양펜션,제주특별자치도 서귀포시 남원읍 신례중앙로 6,10,064-732-7002,33.2895393,126.6292929,2020-06-30,222
파도봐 휴양펜션,제주특별자치도 서귀포시 남원읍 남태해안로 141,10,064-764-1110,33.2780466,126.7201363,2020-06-30,112
금&옥 통나무펜션,제주특별자치도 서귀포시 남원읍 중산간동로7141번길 6,8,064-733-1600,33.282069,126.630107,2020-06-30,122
제주빌레성통나무 휴양펜션,제주특별자치도 서귀포시 성산읍 온평포구로 42,10,064-782-0559,33.4016122,126.8994391,2020-06-30,121
썬레이크빌 제주 휴양펜션,제주특별자치도 서귀포시 성산읍 한도로 49,8,064-782-2277,33.467502,126.9134076,2020-06-30,122
해마지 휴양펜션,제주특별자치도 서귀포시 성산읍 일주동로 5431,10,064-787-2465,33.416346,126.889907,2020-06-30,111
제주정원 휴양펜션,제주특별자치도 서귀포시 성산읍 금백조로 85,10,064-784-3658,33.4381034,126.8463984,2020-06-30,111
온더스톤 휴양펜션,제주특별자치도 서귀포시 성산읍 해맞이해안로 2746,8,064-782-0306,33.4700007,126.9178744,2020-06-30,222
하늘조각 휴양펜션,제주특별자치도 서귀포시 안덕면 사계북로 75,10,064-792-6161,33.235546,126.2959547,2020-06-30,211
제주해안휴양펜션,제주특별자치도 서귀포시 안덕면 사계남로 89,10,064-794-1886,33.2273975,126.2995026,2020-06-30,221
신신휴양펜션,제주특별자치도 서귀포시 안덕면 평화로319번길 137-11 ,10,064-794-5834,33.2798577,126.3148644,2020-06-30,112
산방산에 펜션,제주특별자치도 서귀포시 안덕면 사계북로41번길 151,9,064-794-3100,33.2463108,126.2970216,2020-06-30,121
해담은 제주스파빌,제주특별자치도 서귀포시 안덕면 사계북로 157-17 ,10,064-792-4200,33.2394792,126.3037125,2020-06-30,222
뫼담은 제주스파빌,제주특별자치도 서귀포시 안덕면 사계북로 157-15 ,10,064-792-4200,33.2394018,126.3039897,2020-06-30,212
풀향기 휴양펜션,제주특별자치도 서귀포시 안덕면 대평감산로 59,8,064-738-3368,33.2359677,126.3668317,2020-06-30,121
라이온힐 펜션,제주특별자치도 서귀포시 안덕면 평화로 507,6,064-794-5353,33.3195978,126.342428,2020-06-30,212
담모라 휴양펜션,제주특별자치도 서귀포시 안덕면 일주서로 1975-17,10,064-792-6678,33.2562006,126.3351463,2020-06-30,222
더머뭄 휴양펜션,제주특별자치도 서귀포시 안덕면 사계북로 157-20,8,064-792-6006,33.2394792,126.3037125,2020-06-30,111
산방산 愛(애) 하늘내린빌 휴양펜션,제주특별자치도 서귀포시 안덕면 사계로114번길 53-21,10,064-794-0040,33.2437465,126.3042545,2020-06-30,221
산방산 愛(애) 다온빌 휴양펜션,제주특별자치도 서귀포시 안덕면 사계로114번길 53-19,10,064-794-0040,33.2437465,126.3042545,2020-06-30,112
산방산 愛(애) 누루빌 휴양펜션,제주특별자치도 서귀포시 안덕면 사계로114번길 53-23,10,064-794-0040,33.2437465,126.3042545,2020-06-30,112
쉴띠 휴양펜션,제주특별자치도 서귀포시 안덕면 한창로 102-1,8,070-4111-6695,33.2723241,126.3661767,2020-06-30,212
젠하이드어웨이,제주특별자치도 서귀포시 안덕면 사계남로 186-8,10,064-794-0133,33.2292312,126.3086165,2020-06-30,211
제주스카이휴양펜션,제주특별자치도 서귀포시 표선면 세성로 352-32,9,064-787-0067,33.3355222,126.7983666,2020-06-30,111
제주통나무휴양펜션,제주특별자치도 서귀포시 표선면 번영로 3328,7,064-787-8800,33.3511107,126.8234852,2020-06-30,112
야자수풀빌라,제주특별자치도 서귀포시 표선면 일주동로5661번길 33,5,070-4138-2645,33.3366218,126.845464,2020-06-30,122
아망뜨 휴양펜션,제주특별자치도 서귀포시 표선면 민속해안로 11,5,064-787-0300,33.3060146,126.8063255,2020-06-30,112
블라제,제주특별자치도 서귀포시 표선면 녹산로 274,8,064 787-2588,33.390274,126.732908,2020-06-30,122
중문 통나무 휴양펜션,제주특별자치도 서귀포시 중산간서로594번길 7-8  ,10,064-738-8383,33.2633327,126.4510473,2020-06-30,211
샤뜰레휴양펜션,제주특별자치도 서귀포시 서호호근로46번길 68  ,10,064-738-9852,33.2480275,126.5289509,2020-06-30,221
