분류,상호명,소재지,객실수,연락처,데이터기준일자,
관광호텔업,글래드호텔앤리조트(주)메종글래드제주,제주특별자치도 제주시 노연로 80  ,512,064-747-5000,2020-03-27,211
관광호텔업,제주오리엔탈호텔,제주특별자치도 제주시 탑동로 47,321,064-752-8222,2020-03-27,212
관광호텔업,제주KAL호텔,제주특별자치도 제주시 중앙로 151  ,282,064-724-2001,2020-03-27,211
관광호텔업,제주썬호텔,제주특별자치도 제주시 삼무로 67  ,202,064-741-8000,2020-03-27,212
관광호텔업,제주퍼시픽호텔,제주특별자치도 제주시 서사로 20  ,177,064-758-2500,2020-03-27,211
관광호텔업,라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66  ,400,064-729-8100,2020-03-27,212
관광호텔업,제주로얄호텔,제주특별자치도 제주시 신대로12길 45 ,126,064-743-2222,2020-03-27,211
관광호텔업,제주선샤인호텔,제주특별자치도 제주시 조천읍 신북로 481-9,72,064-784-2525,2020-03-27,212
관광호텔업,스타즈호텔 제주 로베로,제주특별자치도 제주시 관덕로 26 ,121,064-757-7111,2020-03-27,211
관광호텔업,제주서울관광호텔,제주특별자치도 제주시 탑동로 5,108,064-752-2211,2020-03-27,211
관광호텔업,제주팔레스관광호텔,제주특별자치도 제주시 탑동로 9,94,064-753-8811,2020-03-27,211
관광호텔업,뉴아일랜드 관광호텔,제주특별자치도 제주시 연동6길 17 ,100,064-712-1300,2020-03-27,212
관광호텔업,펄호텔 제주,제주특별자치도 제주시 신대로20길 49  ,88,064-742-8871,2020-03-27,211
관광호텔업,호텔 하니 크라운,제주특별자치도 제주시 관덕로 56  ,61,064-758-4200,2020-03-27,212
관광호텔업,제주마리나관광호텔,제주특별자치도 제주시 신대로 45  ,64,064-746-6161,2020-03-27,211
관광호텔업,삼해인관광호텔,제주특별자치도 제주시 도령로 108  ,86,064-742-7775,2020-03-27,211
관광호텔업,금룡관광호텔,제주특별자치도 제주시 삼무로 79,70,064-747-8885,2020-03-27,211
관광호텔업,제주아일랜드호텔리조트,제주특별자치도 제주시 애월읍 평화로 2377,101,064-799-8222,2020-03-27,212
관광호텔업,오션그랜드호텔,제주특별자치도 제주시 조천읍 조함해안로 490,74,064-783-0007,2020-03-27,211
관광호텔업,(주)블랙스톤리조트,제주특별자치도 제주시 한림읍 한창로 925-122,36,064-795-2126,2020-03-27,212
관광호텔업,호텔 스카이파크 제주,제주특별자치도 제주시 삼무로 48,147,064-797-0000,2020-03-27,211
관광호텔업,라자관광호텔,제주특별자치도 제주시 연동6길 33  ,99,064-745-8100,2020-03-27,211
관광호텔업,메이더호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,54,064-766-8888,2020-03-27,211
관광호텔업,뉴코리아호텔,제주특별자치도 제주시 은남길 37  ,73,064-744-4333,2020-03-27,212
관광호텔업,코쿤애월,제주특별자치도 제주시 애월읍 중엄3길 50,30,064-744-8006,2020-03-27,212
관광호텔업,뉴맨하탄관광호텔,제주특별자치도 제주시 도령로 66,56,064-742-7991,2020-03-27,212
관광호텔업,호텔라온제주,제주특별자치도 제주시 한림읍 금능남로 127,51,064-795-3001,2020-03-27,211
관광호텔업,파크사이드관광호텔,제주특별자치도 제주시 도령로 126,70,064-746-4545,2020-03-27,212
관광호텔업,애플관광호텔,제주특별자치도 제주시 동광로 45 ,40,064-725-1552,2020-03-27,212
관광호텔업,관광호텔 더레드,제주특별자치도 제주시 동광로6길 10 ,59,064-725-7252,2020-03-27,212
관광호텔업,엠버시티호텔,제주특별자치도 제주시 노연로 13,51,064-711-8500,2020-03-27,211
관광호텔업,현대관광호텔,제주특별자치도 제주시 신대로 68,43,064-742-2714,2020-03-27,212
관광호텔업,호텔루트,제주특별자치도 제주시 고마로15길33,77,064-755-8813,2020-03-27,212
관광호텔업,올레관광호텔,제주특별자치도 제주시 서광로 254,71,064-723-2727,2020-03-27,212
관광호텔업,로긴호텔,제주특별자치도 제주시 서해안로 442-9,31,064-712-2377,2020-03-27,212
관광호텔업,엠버호텔,제주특별자치도 제주시 삼무로 12,72,064-745-7459,2020-03-27,211
관광호텔업,해호텔,제주특별자치도 제주시 서해안로 526,32,064-742-4356,2020-03-27,212
관광호텔업,롯데시티호텔 제주,제주특별자치도 제주시 도령로 82,262,064-730-1070,2020-03-27,211
관광호텔업,엠버호텔 센트럴,제주특별자치도 제주시 노연로 24,130,064-747-0771,2020-03-27,211
관광호텔업,씨제이관광호텔,제주특별자치도 제주시 광양8길 24,36,064-755-7413,2020-03-27,212
관광호텔업,제주미주호텔,제주특별자치도 제주시 신대로 60,76,064-805-4288,2020-03-27,112
관광호텔업,호텔 컬리넌,제주특별자치도 제주시 사장1길 26,59,064-743-6500,2020-03-27,211
관광호텔업,골든파크관광호텔,제주특별자치도 제주시 서광로2길 9,38,064-752-5820,2020-03-27,211
관광호텔업,오라관광호텔,제주특별자치도 제주시 연북로 217,61,064-713-6261,2020-03-27,211
관광호텔업,씨앤관광호텔,제주특별자치도 제주시 일주서로 7490,60,064-711-7400,2020-03-27,212
관광호텔업,루스톤호텔,제주특별자치도 제주시 애월해안로 408,42,064-799-1671,2020-03-27,212
관광호텔업,루스톤빌라앤호텔,제주특별자치도 제주시 애월해안로 406,38,064-799-1671,2020-03-27,212
관광호텔업,씨엘블루호텔,제주특별자치도 제주시 서해안로 368-3,85,064-727-5888,2020-03-27,212
관광호텔업,그라벨 호텔,제주특별자치도 제주시 일주서로 7316,141,064-740-8010,2020-03-27,211
관광호텔업,HOTEL LEO,제주특별자치도 제주시 삼무로 14,95,064-754-7000,2020-03-27,211
관광호텔업,베니키아 아이진호텔,제주특별자치도 제주시 신대로 22길 4,75,064-745-0700,2020-03-27,211
관광호텔업,아스타호텔,제주특별자치도 제주시 서사로 129,130,064-710-1100,2020-03-27,211
관광호텔업,심스호텔,제주특별자치도 제주시 임항로 249,92,064-750-8988,2020-03-27,221
관광호텔업,케이 관광호텔,제주특별자치도 제주시 연동 251-79,41,064-743-2123,2020-03-27,211
관광호텔업,탑팰리스 관광호텔,제주특별자치도 제주시 중앙로 34,112,064-721-8898,2020-03-27,112
관광호텔업,베니키아 호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-10,94,064-799-3544,2020-03-27,212
관광호텔업,유니호텔,제주특별자치도 제주시 애월읍 애월해안로 656,62,064-741-5000,2020-03-27,212
관광호텔업,사하라,제주특별자치도 제주시 서광로 265,37,064-721-0707,2020-03-27,211
관광호텔업,신라스테이제주,제주특별자치도 제주시 노연로 100,301,064-717-9000,2020-03-27,211
관광호텔업,제니아관광호텔,제주특별자치도 제주시 은남1길 25,67,064-797-9000,2020-03-27,211
관광호텔업,제주갤럭시호텔,제주특별자치도 제주시 남성로 33,85,064-750-3355,2020-03-27,121
관광호텔업,뉴베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-6,88,064-799-3544,2020-03-27,112
관광호텔업,플로라호텔해마,제주특별자치도 제주시 삼무로 28,89,064-786-6000,2020-03-27,211
관광호텔업,에스호텔,제주특별자치도 제주시 오일장중길 26,88,064-749-9928,2020-03-27,211
관광호텔업,블랙샌즈관광호텔,제주특별자치도 제주시 선사로 8,78,064-740-0888,2020-03-27,212
관광호텔업,호텔더원,제주특별자치도 제주시 사장3길 33,180,064-798-0001,2020-03-27,111
관광호텔업,제주인관광호텔,제주특별자치도 제주시 신산마을길 20,79,064-754-1111,2020-03-27,121
관광호텔업,제주코아관광호텔,제주특별자치도 제주시 신대로 148,65,064-744-6600,2020-03-27,121
관광호텔업,하버관광호텔,제주특별자치도 제주시 임항로 260,30,064-754-6000,2020-03-27,211
관광호텔업,탐라스테이,제주특별자치도 제주시 애월읍 애월해안로 881,116,064-742-8848,2020-03-27,112
관광호텔업,스카이힐비즈니스 관광호텔,제주특별자치도 제주시 서광로24길 1,78,064-751-5177,2020-03-27,111
관광호텔업,슬림관광호텔,제주특별자치도 제주시 서광로 292-1,42,064-722-1551,2020-03-27,211
관광호텔업,플로라제주 제이드림호텔,제주특별자치도 제주시 은남1길 40,77,064-711-0008,2020-03-27,211
관광호텔업,어반아일랜드호텔,제주특별자치도 제주시 삼무로 76,70,064-740-1900,2020-03-27,211
관광호텔업,더스테이센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113,91,064-800-4000,2020-03-27,212
관광호텔업,오드리 인,제주특별자치도 제주시 서해안로 100,82,064-710-8000,2020-03-27,212
관광호텔업,스위트캐슬,제주특별자치도 제주시 조천읍 신북로 443,90,064-783-8899,2020-03-27,212
관광호텔업,호텔난타,제주특별자치도 제주시 선돌목동길 56-26,204,064-727-0603,2020-03-27,212
관광호텔업,(주)호텔샬롬,제주특별자치도 제주시 동광로 34,176,064-720-7700,2020-03-27,211
관광호텔업,제주레슬리호텔,제주특별자치도 제주시 광평길 3,96,064-713-6800,2020-03-27,211
관광호텔업,제주노블레스 관광호텔,제주특별자치도 제주시 월성로4길 19,150,064-747-7161,2020-03-27,211
관광호텔업,호텔 시리우스,제주특별자치도 제주시 도령로 133,280,070-4559-1155,2020-03-27,211
관광호텔업,다인오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394,83,1811-0012,2020-03-27,212
관광호텔업,시티홀관광호텔제주,제주특별자치도 제주시 동광로4길 9-4,30,064-726-5678,2020-03-27,211
가족호텔업,꼬뜨도르가족호텔,제주특별자치도 제주시 구좌읍 일주동로 1724,30,064-782-0800,2020-03-27,122
