모범음식점 지정명단(반기보고),,,,,,,,,
,,,,,,,,,
연번,반기,시도,시군구,업태,주메뉴,업소명,주소,전화번호 ,비고
,,,,,,,,,
1,,제주특별자치도,제주시,한식,뷔페,(주)마마뷔페,"제주특별자치도 제주시 원노형로 54, 2층 (노형동)",064-711-5335,
2,,제주특별자치도,제주시,회집,생선회,(주)삼다도횟집,제주특별자치도 제주시 서해안로 572 (용담삼동),064-711-7080,
3,,제주특별자치도,제주시,한식,뼈다귀탕,24시뼈다귀탕삼화점,"제주특별자치도 제주시 일주동로 222, 1층 (화북일동)", 064- 722-6661,
4,,제주특별자치도,제주시,한식,행장국,24시전주콩나물해장국화북점,"제주특별자치도 제주시 동화로 74, 1층 (화북이동)",064-757-8111,
5,,제주특별자치도,제주시,한식,,가리본가광양점,제주특별자치도 제주시 서사로19길 42 (삼도일동), 064- 711-7448,
6,,제주특별자치도,제주시,한식,육개장,가품아라점,"제주특별자치도 제주시 중앙로 537, 1층 (아라일동)",064-722-6910,
7,,제주특별자치도,제주시,한식,흑돼지갈비,갈비명가제주본점,"제주특별자치도 제주시 건주로3길 11, 1층 (도련일동)",064-721-9992,
8,,제주특별자치도,제주시,식육(숯불구이),"돼지갈비, 오겹살, 등심",감나무집,제주특별자치도 제주시 오남로 12 (오라일동), 064- 722-8292,
9,,제주특별자치도,제주시,한식,오겹살,갑도니,"제주특별자치도 제주시 광양14길 14, 1층 (이도이동)",064-752-9288,
10,,제주특별자치도,제주시,한식,"해장국, 돈까스",강숙수부뚜막,"제주특별자치도 제주시 진남로4길 8-9, 1층 (화북일동)", 064- 755-3500,
11,,제주특별자치도,제주시,한식,한정식,거부,제주특별자치도 제주시 제원4길 3 (연동),064-0744-4116,
12,,제주특별자치도,제주시,식육(숯불구이),흑돼지구이,고기왕,제주특별자치도 제주시 일주서로 7329-3 (외도이동),064-0711-8577,
13,,제주특별자치도,제주시,경양식,,고담2015신제주점,"제주특별자치도 제주시 노연로 43, 2층 (노형동, 외1필지)", 064- 711-5363,
14,,제주특별자치도,제주시,식육(숯불구이),"돼지고기, 쇠고기",고려회관,제주특별자치도 제주시 서광로29길 12 (이도일동),064-0755-2456,
15,,제주특별자치도,제주시,한식,,고집돌우럭제주공항점,제주특별자치도 제주시 임항로 30 (건입동), 064- 758-2531,
16,,제주특별자치도,제주시,식육(숯불구이),,광평도새기촌본점,"제주특별자치도 제주시 중앙로 360, 1층 (이도이동)",,
17,,제주특별자치도,제주시,한식,,교래손칼국수,제주특별자치도 제주시 조천읍 비자림로 645, 064- 782-9870,
18,,제주특별자치도,제주시,한식,족발,군족,"제주특별자치도 제주시 동화로 74, 1층 (화북이동)", 064- 721-8977,
19,,제주특별자치도,제주시,한식,샤브샤브,궁한스샤브샤브신제주점,"제주특별자치도 제주시 사장길 38, 2층 (연동)", 064- 742-8989,
20,,제주특별자치도,제주시,한식,,궁한스샤브외도점,제주특별자치도 제주시 우정로12길 1 (외도일동),064-0713-3197,
21,,제주특별자치도,제주시,회집,,금보,제주특별자치도 제주시 서부두길 14 (건입동), 064- 753-0926,
22,,제주특별자치도,제주시,중국식,황궁쟁반자장면,길림성,"제주특별자치도 제주시 남성로 37, 1층 (용담일동)", 064- 724-6660,
23,,제주특별자치도,제주시,한식,굴국밥,김명자굴국밥,제주특별자치도 제주시 연북로 168 (연동), 064- 747-0320,
24,,제주특별자치도,제주시,일식,"생선회, 지리",김용복참치,제주특별자치도 제주시 과원북4길 9 (노형동),064-711-1244,
25,,제주특별자치도,제주시,식육(숯불구이),백반,꽃가마,제주특별자치도 제주시 신산로 97 (일도이동), 064- 755-6454,
26,,제주특별자치도,제주시,한식,,꽃마름삼화점,"제주특별자치도 제주시 화삼로 21, 2층 (화북일동)",064-757-0505,
27,,제주특별자치도,제주시,식육(숯불구이),샤브샤브,꽃마름제주이도점,"제주특별자치도 제주시 승천로 73, 3층 (아라이동)", 064- 725-4933,
28,,제주특별자치도,제주시,한식,쇠고기전문,남녕갈비,제주특별자치도 제주시 남녕로 25 (노형동), 064- 743-3000,
29,,제주특별자치도,제주시,회집,"생선회, 갈치조림",남또리,제주특별자치도 제주시 애월읍 애월해안로 384, 064- 799-1711,
30,,제주특별자치도,제주시,한식,"쌈밥, 야채비빔밥",낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,064-0784-9292,
31,,제주특별자치도,제주시,한식,소고기해장국,내고향해장국,제주특별자치도 제주시 월랑로4길 14 (노형동), 064- 744-9009,
32,,제주특별자치도,제주시,한식,흑돼지,노형늘봄,제주특별자치도 제주시 한라대학로 12 (노형동),064 -744 -9001,
33,,제주특별자치도,제주시,식육(숯불구이),"양구이, 쇠갈비",노형순창,제주특별자치도 제주시 진군3길 1 (노형동), 064- 743-6468,
