지정번호,관리기관,업소명,소재지,향토음식주메뉴,연락처,데이터기준일자
Jan.15,제주시,갯것이,제주특별자치도 제주시 가령로 9,성게국+보말국+갈치구이+자리물회+고등어구이,064-724-2722,2019.12.31
Mar.15,제주시,고우니가든,제주특별자치도 제주시 조천읍 남조로 2625,말고기전문요리,064-782-1418,2019.12.31
Apr.15,제주시,국수마당본점,제주특별자치도 제주시 삼성로 65,고기국수,064-727-6001,2019.12.31
Jun.15,제주시,대우정,제주특별자치도 제주시 서사로 152,오분작돌솥밥+소라.성게솥밥+성게국,064-757-9662,2019.12.31
Jul.15,제주시,덤장,제주특별자치도 제주시 용문로 48,돔베고기+고등어+갈치구이,064-713-0550,2019.12.31
Aug.15,제주시,도두,제주특별자치도 제주시 도두3길 48,차롱보리밥+된장지리,064-742-9292,2019.12.31
Sep.15,제주시,돌하르방식당,제주특별자치도 제주시 한림읍 한림로 300,흑돼지숯불구이정식+성게국,064-796-0001,2019.12.31
Dec.15,제주시,물항탑동점,제주특별자치도 제주시 임항로 37-4,갈치구이+자리물회,064-755-2731,2019.12.31
2015-13,제주시,바당동네,제주특별자치도 제주시 월성로 26,고등어+갈치조림,064-743-0330,2019.12.31
2015-14,제주시,방주할머니식당,제주특별자치도 제주시 조천읍 선흘리 2040-1,검정콩단호박칼국수+도토리묵밥,064-783-1253,2019.12.31
2015-15,제주시,비자림꿩  메밀국수,제주특별자치도 제주시 정든로3길 28,꿩메밀국수+빙떡,064-783-9900,2019.12.31
2015-16,제주시,산지로,제주특별자치도 제주시 정존15길 27,갈치국+보말국및물회,064-747-1889,2019.12.31
2015-17,제주시,삼대국수회관본점,제주특별자치도 제주시 삼성로 41,고기국수,064-759-6644,2019.12.31
2015-18,제주시,세부마을,제주특별자치도 제주시 정든로 47,보말국+보말칼국수,064-753-0488,2019.12.31
2015-19,제주시,신현대,제주특별자치도 제주시 임항로 40,갈치국+갈치구이,064-721-8803,2019.12.31
2015-22,제주시,어우늘,제주특별자치도 제주시 연북로 222,전복전문요리,064-743-5131,2019.12.31
2015-23,제주시,어장군,제주특별자치도 제주시 신대로 72,보말국+갈치조림+자리물회+돔베고기+고등어조림,064-744-2258,2019.12.31
2015-25,제주시,용두성,제주특별자치도 제주시 용두암길 18,고등어조림+갈치조림,064-744-1758,2019.12.31
2015-26,제주시,유리네,제주특별자치도 제주시 연북로 146,갈치구이+성게국+고등어조림+갈치국+몸국,064-748-0890,2019.12.31
2015-27,제주시,유빈,제주특별자치도 제주시 탑동로 55,전복죽+전복회+성게국+전복구이,064-753-5218,2019.12.31
2015-29,제주시,제일식당,제주특별자치도 제주시 추자면 추자로 16-2,삼치회,064-742-9333,2019.12.31
2015-30,제주시,좀녀마을뚝배기,제주특별자치도 제주시 은남길 25,갈치조림+고등어조림,064-745-3535,2019.12.31
2015-31,제주시,탐라정,제주특별자치도 제주시 오복4길 11,옥돔물회+한치물회,064-758-3455,2019.12.31
2015-32,제주시,탑동산호,제주특별자치도 제주시 탑동로 59,전복죽+전복돌솥밥+성게국,064-758-0123,2019.12.31
2015-33,제주시,태광식당,제주특별자치도 제주시 탑동로 144,한치돼지고기불고기,064-751-1071,2019.12.31
2015-34,제주시,한라,제주특별자치도 제주시 광양9길 19,갈치국+옥돔구이+옥돔무국+자리물회+한치물회,064-758-8301,2019.12.31
2015-36,제주시,황금어장,제주특별자치도 제주시 사장길 14,객주리조림+옥돔물회+갈치구이,064-748-8989,2019.12.31
2015-37,제주시,흑돈가,제주특별자치도 제주시 한라대학로 11,흑돼지구이,064-747-0088,2019.12.31
2015-40,서귀포시,덤장중문점,제주특별자치도 서귀포시 천제연로 17,갈치조림+갈치구이+고등어구이,064-738-2550,2019.12.31
2015-41,서귀포시,돌하르방뚝배기,제주특별자치도 서귀포시 성산읍 일출로 264,갈치조림+갈치구이+전북뚝배기,064-784-8848,2019.12.31
2015-42,서귀포시,명원가든,제주특별자치도 서귀포시 성산읍 성산등용로 8,갈치조림+전복뚝배기+흑돼지오겹살,064-784-1900,2019.12.31
2015-43,서귀포시,성읍탐라식당,제주특별자치도 서귀포시 표선면 성읍정의현로 116,흑돼지오겹살+흑돼지불고기,064-787-0007,2019.12.31
2015-44,서귀포시,옥돔식당,제주특별자치도 서귀포시 대정읍 신영로36번길 62,보말손칼국수+보말국,064-794-8833,2019.12.31
2015-49,제주시,모메존,제주특별자치도 제주시 도두3길 17,깅이죽,064-711-0585,2019.12.31
2015-50,제주시,바다잔치,제주특별자치도 제주시 탑동로79,갈치.고등어구이+조림+쥐치조림+자리물회,064-702-8989,2019.12.31
2015-51,제주시,속초,제주특별자치도 제주시 임항로 39-1,갈치+고등어(구이+조림),064-702-0036,2019.12.31
2015-57,제주시,팔도수산,제주특별자치도 제주시 임항로 27,갈치+고등어(구이+조림),064-725-1181,2019.12.31
2015-58,제주시,해녀식당,제주특별자치도 제주시 구좌읍 동복로 5,회국수+해초회덮밥+갈치+고등어조림+구이,064-783-4158,2019.12.31
2015-59,제주시,금  뽕 돌,제주특별자치도 제주시 번영로 500,몸국+갈치조림+호박문어국+,064-721-1111,2019.12.31
2015-60,제주시,도라지,제주특별자치도 제주시 연삼로 128,갈치요리,064-722-3142,2019.12.31
2015-61,제주시,뱃머리,제주특별자치도 제주시 임항로 43,갈치조림+자리물회,064-755-7158,2019.12.31
2015-62,제주시,어미도,제주특별자치도 제주시 서사로21길 3,조림(고등어+갈치+우럭),064-753-5989,2019.12.31
2015-64,제주시,토끼와  거북이,제주특별자치도 제주시 서해안로 498-6,조림 구이(갈치+고등어),064-713-4444,2019.12.31
2015-65,제주시,흑마가든,제주특별자치도 제주시 연화로2길 20-1,말고기요리,064-712-3532,2019.12.31
2015-66,제주시,날래모슬포자리돔,제주특별자치도 제주시 다랑곶7길 21,자리물회+몸국+갈치조림,064-711-7465,2019.12.31
2015-67,제주시,명물,제주특별자치도 제주시 탑동로11길 2-1,조림(쥐치+갈치+고등어),064-723-5233,2019.12.31
2019-68,서귀포시,세프신향토요리,제주특별자치도 서귀포시 태평로 347,성게국+몸국+고등어조림+갈치조림,064-901-0099,2019.12.31
2019-69,제주시,제주향토골,제주특별자치도 제주시 공항로 2,갈치구이+갈치조림+갈치국+고등어구이+고등어조림+옥돔구이외,064-712-1666,2019.12.31
2019-70,제주시,참솔,제주특별자치도 제주시 애월읍 유수암평화5길 21,고등어조리림+고등어구이+옥돔구이+성게미영국+말고기육회+돔베고기,064-799-6638,2019.12.31
